R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,weight,height,HU
3.70225568,3.851911533,4.019104439,4.095973881,4.525928802,4.499114014,15,60.54,0.52,69.9926
3.703284701,3.843635167,4.018890537,4.098660386,4.526435904,4.503655503,15,59.16,0.48,66.9961
3.705449042,3.861458274,4.010333172,4.094393566,4.527163047,4.51734113,15,61.91,0.43,60.7081
3.716776666,3.864680057,4.016917426,4.104338812,4.523933596,4.505336019,15,56.65,0.5,69.8914
3.723150546,3.867431808,4.036420686,4.113272601,4.562289239,4.538711157,15,58.44,0.41,60.333
3.723804605,3.856711135,4.01142299,4.090916397,4.525329871,4.504671232,15,58.43,0.47,66.3908
3.727168288,3.813503455,3.978792623,4.054341221,4.483268306,4.461955961,15,59.41,0.48,66.8845
3.732325739,3.881182221,4.019745595,4.102950411,4.504678318,4.488023584,15,60,0.5,68.4549
3.734244101,3.875521355,4.023403386,4.103015085,4.531513294,4.510535821,15,58.66,0.5,69.029
3.761747442,3.877582734,4.040877966,4.118577161,4.551384374,4.525296266,15,58.32,0.43,62.5059
3.621055117,3.744360263,3.947008537,4.031582928,4.515633428,4.478218581,16,60.19,0.5,68.3736
3.642723888,3.775563839,3.939675026,4.019799128,4.460838551,4.433263662,16,62.53,0.53,70.0497
3.65743837,3.786921658,3.979542951,4.056218022,4.490866236,4.462469477,16,59.38,0.43,61.9757
3.682825641,3.781124281,3.964963479,4.044981565,4.514606347,4.488161816,16,57.92,0.54,72.7297
3.687350831,3.821589261,3.994555056,4.068118215,4.515766612,4.488351832,16,58.22,0.48,67.4162
3.699614903,3.813647891,3.973361235,4.049576934,4.505169911,4.476677997,16,57.82,0.49,68.5014
3.699845176,3.844913601,4.024925435,4.099508769,4.512424118,4.479929837,16,56.97,0.47,67.0576
3.705903325,3.836843872,3.990370814,4.066784638,4.509312621,4.483611643,16,61.46,0.47,65.0074
3.713219582,3.827783504,3.979261758,4.0503807,4.500628913,4.470748245,16,58.71,0.44,63.3331
3.716222809,3.859188713,4.016401232,4.08724356,4.50437764,4.472381638,16,60,0.46,64.706
