R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,weight,height,HU
3.806565681,3.878578677,4.091691305,4.154803075,4.538040366,4.507902443,17,58.88,0.39,57.8688
3.807105514,3.907034637,4.065088586,4.132544779,4.526383908,4.499400307,17,58.13,0.54,72.6464
3.807195405,3.896543628,4.066433234,4.128599668,4.566065907,4.528456856,17,57.86,0.42,61.6992
3.807554846,3.959259873,4.129681901,4.189220627,4.564533008,4.535949706,17,55.65,0.38,58.5357
3.80791399,3.913278594,4.068576018,4.131849423,4.56032241,4.533948667,17,54.88,0.52,72.3271
3.80818317,3.91379487,4.077753591,4.132907172,4.566113363,4.529557671,17,58.91,0.47,66.1716
3.80818317,3.936142974,4.102662286,4.167613538,4.543921833,4.522320165,17,59.42,0.51,69.5871
3.808631389,3.898923352,4.075280007,4.145315154,4.546721382,4.523786896,17,58.33,0.52,70.902
3.810241217,3.978499936,4.118258621,4.178918129,4.541618972,4.516888621,17,57.7,0.43,62.8158
3.810419719,3.932753413,4.083618502,4.14914102,4.562827363,4.53542324,17,59.65,0.46,64.8694
3.811132994,3.983558194,4.130609388,4.19154759,4.556495289,4.534337211,17,58,0.51,70.1835
3.811667182,3.944502817,4.115595074,4.175374166,4.548404823,4.5243277,17,60.23,0.5,68.3564
3.812111822,3.962039214,4.131072389,4.204332572,4.542721877,4.532890174,17,57.38,0.49,68.694
3.812200715,3.921128519,4.099012263,4.159541375,4.546336726,4.508727095,17,57.83,0.42,61.7146
3.812378413,3.949495356,4.10907251,4.171359274,4.561690551,4.5356401,17,59.14,0.33,50.214
3.812467219,3.950655599,4.106281855,4.15851818,4.523580548,4.497544505,18,58.19,0.43,62.5708
3.812644808,3.930497334,4.098763104,4.159598149,4.57631156,4.551365786,18,57.67,0.51,70.3223
3.813620271,3.956150743,4.108028106,4.165154363,4.556094917,4.522894709,18,57.97,0.47,66.6008
3.813885906,3.910976476,4.075242418,4.141366443,4.530111013,4.509089428,18,57.43,0.45,64.9428
3.814062917,3.912474246,4.072111365,4.135044992,4.54101617,4.514846321,18,58.61,0.53,71.6294
3.814505144,3.938586611,4.113500611,4.17433277,4.566563845,4.536614708,18,58.47,0.34,51.9862
3.814505144,3.956982026,4.113052906,4.17326135,4.550044857,4.529604778,18,57.81,0.5,69.3935
3.814858588,3.947165575,4.09454107,4.156035443,4.547625795,4.520816403,18,59.59,0.48,66.804
3.815476409,3.868323967,4.040185788,4.107582568,4.526565817,4.500593957,18,57.43,0.41,60.8628
3.816093385,3.939073703,4.097907709,4.161750094,4.531024926,4.513642367,18,57.55,0.44,63.8996
3.816269498,3.949759307,4.108829058,4.170917024,4.579255855,4.549629687,18,59.06,0.5,68.8576
3.816533518,3.876896684,4.059901765,4.124587607,4.56979823,4.544364146,18,57.65,0.3,46.9849
3.81732468,3.944663028,4.132359577,4.195798988,4.576601097,4.551977725,18,58.01,0.53,71.8718
